Project,Month,Monthly Volume
spiritswap,2023-04-01,5 888 666
balancer,2023-04-01,1 471 773 238
curve,2023-04-01,3 595 163 230
apeswap,2023-04-01,35 551 463
iziswap,2023-04-01,4 302 574
trader_joe,2023-04-01,1 005 369 262
biswap,2023-04-01,267 967 895
swapr,2023-04-01,354 536
spookyswap,2023-04-01,167 772 973
equalizer_exchange,2023-04-01,44 212 291
spartacus_exchange,2023-04-01,17 067 439
sushiswap,2023-04-01,2 696 255 057
clipper,2023-04-01,18 656 636
beethoven_x,2023-04-01,64 323 227
kyberswap,2023-04-01,626 295 035
airswap,2023-04-01,155 593 204
maverick,2023-04-01,635 879 047
ellipsis_finance,2023-04-01,10 842 134
integral,2023-04-01,100 069 467
defiswap,2023-04-01,11 709 705
mstable,2023-04-01,2 800 092
uniswap,2023-04-01,38 060 380 074
onepunchswap,2023-04-01,444
quickswap,2023-04-01,837 077 439
pancakeswap,2023-04-01,8 632 959 710
babyswap,2023-04-01,10 597 189
glacier,2023-04-01,7 107 514
DODO,2023-04-01,2 451 347 014
shibaswap,2023-04-01,108 309 515
synthetix,2023-04-01,28 188 901
nomiswap,2023-04-01,70 627
rubicon,2023-04-01,84 423
hashflow,2023-04-01,404 224 987
wombat,2023-04-01,173 969 514
wigoswap,2023-04-01,9 878 481
Bancor Network,2023-04-01,31 039 646
velodrome,2023-04-01,426 130 989
fraxswap,2023-04-01,75 425 098
mdex,2023-04-01,16 180 005
arbswap,2023-04-01,13 610 604
zipswap,2023-04-01,140 056
gmx,2023-04-01,75 187 003
verse_dex,2023-04-01,5 935 421
dfx,2023-03-01,29 568
iziswap,2023-03-01,11 208 032
airswap,2023-03-01,171 949 533
DODO,2023-03-01,3 969 667 741
balancer,2023-03-01,3 210 698 736
mstable,2023-03-01,15 763 404
spiritswap,2023-03-01,13 945 084
defiswap,2023-03-01,100 548 169
spookyswap,2023-03-01,354 941 551
nomiswap,2023-03-01,34 025
maverick,2023-03-01,385 904 256
hashflow,2023-03-01,410 560 280
biswap,2023-03-01,414 371 806
zipswap,2023-03-01,129 208
curve,2023-03-01,20 075 662 776
sushiswap,2023-03-01,17 846 921 060
integral,2023-03-01,68 351 110
synthetix,2023-03-01,67 450 946
equalizer_exchange,2023-03-01,66 928 782
fraxswap,2023-03-01,131 571 419
rubicon,2023-03-01,618 602
glacier,2023-03-01,1 108 237
wombat,2023-03-01,640 650 712
gmx,2023-03-01,123 943 978
swapr,2023-03-01,1 375 894
spartacus_exchange,2023-03-01,53 855 288
shibaswap,2023-03-01,780 143 481
pancakeswap,2023-03-01,7 390 933 789
apeswap,2023-03-01,45 868 224
ellipsis_finance,2023-03-01,45 114 691
velodrome,2023-03-01,1 031 854 156
verse_dex,2023-03-01,3 455 328
Bancor Network,2023-03-01,42 461 408
uniswap,2023-03-01,73 636 133 100
quickswap,2023-03-01,1 317 292 653
beethoven_x,2023-03-01,110 547 333
mdex,2023-03-01,36 589 606
trader_joe,2023-03-01,1 513 444 800
clipper,2023-03-01,32 765 569
kyberswap,2023-03-01,1 670 817 642
onepunchswap,2023-03-01,30 697
babyswap,2023-03-01,24 394 080
wigoswap,2023-03-01,20 050 106
arbswap,2023-03-01,8 909 498
shibaswap,2023-02-01,292 416 171
mstable,2023-02-01,3 546 243
ellipsis_finance,2023-02-01,18 494 812
swapr,2023-02-01,3 707 484
trader_joe,2023-02-01,1 135 944 078
synthetix,2023-02-01,17 210 233
gmx,2023-02-01,109 205 571
kyberswap,2023-02-01,1 363 166 980
hashflow,2023-02-01,481 345 695
DODO,2023-02-01,3 963 212 828
Bancor Network,2023-02-01,37 633 898
uniswap,2023-02-01,46 813 044 040
onepunchswap,2023-02-01,618
equalizer_exchange,2023-02-01,70 451 285
spartacus_exchange,2023-02-01,15 022 051
sushiswap,2023-02-01,3 678 646 336
defiswap,2023-02-01,32 302 297
balancer,2023-02-01,2 976 126 505
mdex,2023-02-01,31 122 160
curve,2023-02-01,5 486 286 666
spookyswap,2023-02-01,459 090 108
nomiswap,2023-02-01,175 783
dfx,2023-02-01,104 538
biswap,2023-02-01,392 863 834
babyswap,2023-02-01,25 784 958
verse_dex,2023-02-01,1 722 755
wigoswap,2023-02-01,12 642 832
apeswap,2023-02-01,52 077 497
iziswap,2023-02-01,11 819 447
platypus_finance,2023-02-01,122 314 052
arbswap,2023-02-01,1 657 790
wombat,2023-02-01,161 485 474
clipper,2023-02-01,51 495 659
integral,2023-02-01,51 093 260
velodrome,2023-02-01,736 986 652
quickswap,2023-02-01,889 308 410
pancakeswap,2023-02-01,7 756 351 704
maverick,2023-02-01,16 919 833
fraxswap,2023-02-01,237 665 804
beethoven_x,2023-02-01,90 925 181
rubicon,2023-02-01,1 306 067
zipswap,2023-02-01,416 931
airswap,2023-02-01,138 270 007
spiritswap,2023-02-01,18 695 633
wombat,2023-01-01,184 141 303
airswap,2023-01-01,183 711 728
fraxswap,2023-01-01,164 335 569
uniswap,2023-01-01,35 624 712 298
zipswap,2023-01-01,324 615
arbswap,2023-01-01,482 023
swapr,2023-01-01,1 061 247
verse_dex,2023-01-01,1 259 480
onepunchswap,2023-01-01,41
curve,2023-01-01,8 508 581 767
mstable,2023-01-01,4 654 651
pancakeswap,2023-01-01,5 186 521 816
rubicon,2023-01-01,8 104 210
iziswap,2023-01-01,10 395 043
spartacus_exchange,2023-01-01,11 200 485
balancer,2023-01-01,4 196 774 188
equalizer_exchange,2023-01-01,11 250 299
defiswap,2023-01-01,11 414 679
wigoswap,2023-01-01,11 926 773
spiritswap,2023-01-01,15 640 759
DODO,2023-01-01,2 516 548 876
ellipsis_finance,2023-01-01,18 778 761
mdex,2023-01-01,28 685 002
babyswap,2023-01-01,30 410 048
Bancor Network,2023-01-01,34 539 133
clipper,2023-01-01,36 141 579
integral,2023-01-01,39 351 034
sushiswap,2023-01-01,1 314 942 072
woofi,2023-01-01,42 103 836
kyberswap,2023-01-01,966 219 185
apeswap,2023-01-01,46 830 574
trader_joe,2023-01-01,804 058 501
quickswap,2023-01-01,616 314 249
gmx,2023-01-01,72 998 784
synthetix,2023-01-01,74 024 125
beethoven_x,2023-01-01,78 755 376
velodrome,2023-01-01,397 633 616
biswap,2023-01-01,394 458 538
spookyswap,2023-01-01,387 524 300
hashflow,2023-01-01,373 527 453
dfx,2023-01-01,11 060
platypus_finance,2023-01-01,120 098 189
nomiswap,2023-01-01,14 224
shibaswap,2023-01-01,218 919 270
Bancor Network,2022-12-01,23 749 122
beethoven_x,2022-12-01,40 695 094
balancer,2022-12-01,2 953 603 964
apeswap,2022-12-01,51 588 465
kyberswap,2022-12-01,873 898 772
woofi,2022-12-01,144 687 692
airswap,2022-12-01,133 517 576
sushiswap,2022-12-01,917 567 769
shibaswap,2022-12-01,155 243 971
spartacus_exchange,2022-12-01,3 688 925
DODO,2022-12-01,3 091 967 427
pancakeswap,2022-12-01,4 371 019 987
mstable,2022-12-01,16 837 403
defiswap,2022-12-01,12 754 645
nomiswap,2022-12-01,31 768
quickswap,2022-12-01,273 162 359
platypus_finance,2022-12-01,102 019 128
clipper,2022-12-01,30 877 576
spiritswap,2022-12-01,6 718 744
rubicon,2022-12-01,6 354 057
iziswap,2022-12-01,5 743 278
biswap,2022-12-01,336 509 841
dfx,2022-12-01,32 175
babyswap,2022-12-01,20 640 421
gmx,2022-12-01,91 377 736
hashflow,2022-12-01,374 723 911
arbswap,2022-12-01,43 195
wombat,2022-12-01,216 645 927
uniswap,2022-12-01,21 830 434 378
fraxswap,2022-12-01,34 595 381
zipswap,2022-12-01,108 040
trader_joe,2022-12-01,225 330 313
equalizer_exchange,2022-12-01,345 993
synthetix,2022-12-01,58 809 739
swapr,2022-12-01,4 743 055
mdex,2022-12-01,20 412 693
integral,2022-12-01,1 781 484
verse_dex,2022-12-01,2 044 086
curve,2022-12-01,4 964 873 205
ellipsis_finance,2022-12-01,51 903 195
wigoswap,2022-12-01,3 965 502
spookyswap,2022-12-01,149 473 120
velodrome,2022-12-01,154 677 685
zigzag,2022-11-01,24 123 342
spiritswap,2022-11-01,24 793 509
balancer,2022-11-01,5 266 620 629
sushiswap,2022-11-01,1 677 146 618
swapr,2022-11-01,5 426 287
iziswap,2022-11-01,37 603 872
DODO,2022-11-01,6 316 544 544
woofi,2022-11-01,187 656 249
biswap,2022-11-01,1 301 052 963
clipper,2022-11-01,40 845 522
wigoswap,2022-11-01,2 910 164
hashflow,2022-11-01,1 003 842 824
kyberswap,2022-11-01,980 106 911
mstable,2022-11-01,49 211 649
pancakeswap,2022-11-01,10 535 824 200
wombat,2022-11-01,742 316 540
fraxswap,2022-11-01,58 052 216
zipswap,2022-11-01,1 061 608
defiswap,2022-11-01,62 344 353
equalizer_exchange,2022-11-01,559
curve,2022-11-01,15 453 262 021
synthetix,2022-11-01,67 385 147
dfx,2022-11-01,394 425
quickswap,2022-11-01,480 225 038
nomiswap,2022-11-01,193 385
verse_dex,2022-11-01,181 765
babyswap,2022-11-01,76 533 726
beethoven_x,2022-11-01,83 662 467
integral,2022-11-01,91 051
Bancor Network,2022-11-01,86 721 064
apeswap,2022-11-01,89 763 565
velodrome,2022-11-01,381 009 124
arbswap,2022-11-01,7 227
trader_joe,2022-11-01,337 351 329
shibaswap,2022-11-01,331 649 157
spookyswap,2022-11-01,318 240 482
airswap,2022-11-01,106 753 227
platypus_finance,2022-11-01,275 139 463
uniswap,2022-11-01,51 655 395 161
ellipsis_finance,2022-11-01,109 756 569
mdex,2022-11-01,116 136 944
gmx,2022-11-01,117 704 199
rubicon,2022-11-01,7 943 661
spartacus_exchange,2022-11-01,7 643 237
mstable,2022-10-01,25 279 444
gmx,2022-10-01,59 944 743
wombat,2022-10-01,128 919 102
Bancor Network,2022-10-01,64 292 908
shibaswap,2022-10-01,329 256 277
airswap,2022-10-01,84 600 831
platypus_finance,2022-10-01,179 046 178
verse_dex,2022-10-01,93 317
iziswap,2022-10-01,24 031 557
balancer,2022-10-01,2 796 768 746
integral,2022-10-01,86 612
wigoswap,2022-10-01,634 574
DODO,2022-10-01,4 642 137 769
velodrome,2022-10-01,256 118 397
synthetix,2022-10-01,47 263 153
trader_joe,2022-10-01,247 088 327
ellipsis_finance,2022-10-01,34 377 148
swapr,2022-10-01,4 862 912
mdex,2022-10-01,96 557 900
beethoven_x,2022-10-01,42 238 174
woofi,2022-10-01,95 371 164
babyswap,2022-10-01,25 089 448
arbswap,2022-10-01,60
rubicon,2022-10-01,13 737 998
fraxswap,2022-10-01,42 393 946
curve,2022-10-01,4 140 531 746
clipper,2022-10-01,52 476 314
uniswap,2022-10-01,51 972 914 157
quickswap,2022-10-01,148 667 852
dfx,2022-10-01,25 169 994
spiritswap,2022-10-01,19 964 360
spartacus_exchange,2022-10-01,3 265 337
nomiswap,2022-10-01,270 699
pancakeswap,2022-10-01,6 519 392 881
defiswap,2022-10-01,26 873 389
kyberswap,2022-10-01,281 837 811
zipswap,2022-10-01,870 406
sushiswap,2022-10-01,1 244 616 533
biswap,2022-10-01,466 082 109
apeswap,2022-10-01,56 772 141
hashflow,2022-10-01,289 321 934
spookyswap,2022-10-01,144 977 000
zigzag,2022-10-01,180 610 721
mdex,2022-09-01,53 870 229
swapr,2022-09-01,1 476 387
clipper,2022-09-01,54 593 213
woofi,2022-09-01,130 305 212
wigoswap,2022-09-01,1 146 711
DODO,2022-09-01,5 163 599 594
spookyswap,2022-09-01,229 411 446
beethoven_x,2022-09-01,65 159 592
biswap,2022-09-01,500 799 747
apeswap,2022-09-01,68 242 187
wombat,2022-09-01,69 335 252
verse_dex,2022-09-01,188 147
hashflow,2022-09-01,469 057 169
spiritswap,2022-09-01,26 667 443
iziswap,2022-09-01,10 365 095
platypus_finance,2022-09-01,196 694 320
velodrome,2022-09-01,416 094 716
airswap,2022-09-01,145 680 559
zigzag,2022-09-01,145 896 496
nomiswap,2022-09-01,49 122
trader_joe,2022-09-01,389 308 278
shibaswap,2022-09-01,382 404 664
defiswap,2022-09-01,33 574 497
kyberswap,2022-09-01,147 284 368
uniswap,2022-09-01,36 054 636 828
mstable,2022-09-01,33 037 110
curve,2022-09-01,5 530 868 845
Bancor Network,2022-09-01,96 695 118
spartacus_exchange,2022-09-01,5 691 629
integral,2022-09-01,31 808
dfx,2022-09-01,105 223 356
arbswap,2022-09-01,20
balancer,2022-09-01,2 476 303 864
babyswap,2022-09-01,29 598 145
fraxswap,2022-09-01,43 085 324
rubicon,2022-09-01,2 365 409
sushiswap,2022-09-01,1 236 278 437
synthetix,2022-09-01,47 204 510
quickswap,2022-09-01,2 157 016
ellipsis_finance,2022-09-01,39 169 737
pancakeswap,2022-09-01,6 180 432 335
gmx,2022-09-01,113 665 047
zipswap,2022-09-01,1 513 262
clipper,2022-08-01,60 425 330
DODO,2022-08-01,6 072 002 842
kyberswap,2022-08-01,70 124 059
beethoven_x,2022-08-01,107 327 077
pancakeswap,2022-08-01,8 109 418 652
dfx,2022-08-01,62 206 615
woofi,2022-08-01,161 475 648
spartacus_exchange,2022-08-01,6 451 517
nomiswap,2022-08-01,595
defiswap,2022-08-01,40 001 651
fraxswap,2022-08-01,43 839 146
wigoswap,2022-08-01,3 065 871
ellipsis_finance,2022-08-01,35 596 171
shibaswap,2022-08-01,500 779 126
balancer,2022-08-01,2 399 724 522
velodrome,2022-08-01,976 031 590
synthetix,2022-08-01,44 707 327
integral,2022-08-01,355
airswap,2022-08-01,155 546 266
babyswap,2022-08-01,45 432 552
mdex,2022-08-01,66 451 062
hashflow,2022-08-01,535 501 735
biswap,2022-08-01,780 465 452
curve,2022-08-01,7 940 012 404
mstable,2022-08-01,61 207 321
arbswap,2022-08-01,133
wombat,2022-08-01,9 045 206
spiritswap,2022-08-01,66 185 771
spookyswap,2022-08-01,410 595 893
swapr,2022-08-01,3 894 422
apeswap,2022-08-01,97 019 318
iziswap,2022-08-01,7 505 294
sushiswap,2022-08-01,1 878 320 293
gmx,2022-08-01,100 050 319
zipswap,2022-08-01,4 772 255
uniswap,2022-08-01,44 247 267 653
trader_joe,2022-08-01,569 213 443
verse_dex,2022-08-01,150 784
rubicon,2022-08-01,2 363 949
Bancor Network,2022-08-01,106 037 663
platypus_finance,2022-08-01,243 081 500
balancer,2022-07-01,151 122 149 554
uniswap,2022-07-01,45 259 801 509
curve,2022-07-01,8 946 215 785
pancakeswap,2022-07-01,7 317 709 286
DODO,2022-07-01,4 707 124 832
sushiswap,2022-07-01,1 782 936 086
biswap,2022-07-01,1 240 718 976
trader_joe,2022-07-01,707 758 090
velodrome,2022-07-01,545 812 295
spookyswap,2022-07-01,492 123 578
clipper,2022-07-01,476 579 193
hashflow,2022-07-01,376 235 416
platypus_finance,2022-07-01,255 983 589
mstable,2022-07-01,231 410 730
woofi,2022-07-01,187 069 640
shibaswap,2022-07-01,178 941 238
Bancor Network,2022-07-01,177 971 019
dfx,2022-07-01,136 522 588
beethoven_x,2022-07-01,129 530 104
mdex,2022-07-01,125 210 668
apeswap,2022-07-01,99 708 550
gmx,2022-07-01,88 480 623
airswap,2022-07-01,78 817 691
spiritswap,2022-07-01,75 676 188
babyswap,2022-07-01,72 070 334
defiswap,2022-07-01,41 870 470
synthetix,2022-07-01,34 188 342
ellipsis_finance,2022-07-01,32 942 447
fraxswap,2022-07-01,30 005 203
kyberswap,2022-07-01,29 361 851
wombat,2022-07-01,8 679 957
zipswap,2022-07-01,6 747 120
iziswap,2022-07-01,5 321 650
spartacus_exchange,2022-07-01,4 634 470
wigoswap,2022-07-01,3 844 317
swapr,2022-07-01,3 645 553
integral,2022-07-01,2 081 580
rubicon,2022-07-01,1 031 886
verse_dex,2022-07-01,8 417
